Type,Parent Type,Full Hierarchy
"Scythes, Sickles & Machetes",Hand Tools,"Tools > Hand Tools > Scythes, Sickles & Machetes"
Hand Sickle,"Scythes, Sickles & Machetes","Tools > Hand Tools > Scythes, Sickles & Machetes > Hand Sickle"
Scythe,"Scythes, Sickles & Machetes","Tools > Hand Tools > Scythes, Sickles & Machetes > Scythe"
Machete,"Scythes, Sickles & Machetes","Tools > Hand Tools > Scythes, Sickles & Machetes > Machete"
Sharpeners,Hand Tools,Tools > Hand Tools > Sharpeners
Finishing Stones,Sharpeners,Tools > Hand Tools > Sharpeners > Finishing Stones
Drywall Tools,Hand Tools,Tools > Hand Tools > Drywall Tools
Drywall Tool Sets,Drywall Tools,Tools > Hand Tools > Drywall Tools > Drywall Tool Sets
Joint Knives,Drywall Tools,Tools > Hand Tools > Drywall Tools > Joint Knives
Bucket Scoops,Drywall Tools,Tools > Hand Tools > Drywall Tools > Bucket Scoops
Hammer-End Joint Knives,Bucket Scoops,Tools > Hand Tools > Drywall Tools > Bucket Scoops > Hammer-End Joint Knives
Taping Knives,Bucket Scoops,Tools > Hand Tools > Drywall Tools > Bucket Scoops > Taping Knives
Drywall Circle Cutters,Drywall Tools,Tools > Hand Tools > Drywall Tools > Drywall Circle Cutters
Electrical Tools,Hand Tools,Tools > Hand Tools > Electrical Tools
Fish Tapes,Electrical Tools,Tools > Hand Tools > Electrical Tools > Fish Tapes
Wire Strippers,Electrical Tools,Tools > Hand Tools > Electrical Tools > Wire Strippers
Roof Brackets,Hand Tools,Tools > Hand Tools > Roof Brackets
Brace & Bits,Hand Tools,Tools > Hand Tools > Brace & Bits
Nail Sets,Hand Tools,Tools > Hand Tools > Nail Sets
Jigs,Hand Tools,Tools > Hand Tools > Jigs
Pocket Hole Jigs,Jigs,Tools > Hand Tools > Jigs > Pocket Hole Jigs
Dovetail Jigs,Jigs,Tools > Hand Tools > Jigs > Dovetail Jigs
Gear Pullers,Hand Tools,Tools > Hand Tools > Gear Pullers
Hand Air Pumps,Hand Tools,Tools > Hand Tools > Hand Air Pumps
Plug Cutters,Hand Tools,Tools > Hand Tools > Plug Cutters
Paint Can Openers,Hand Tools,Tools > Hand Tools > Paint Can Openers
Cleaning Brushes,Hand Tools,Tools > Hand Tools > Cleaning Brushes
Wire Brushes,Cleaning Brushes,Tools > Hand Tools > Cleaning Brushes > Wire Brushes
House Wash Brushes,Cleaning Brushes,Tools > Hand Tools > Cleaning Brushes > House Wash Brushes
Pipe Brushes,Cleaning Brushes,Tools > Hand Tools > Cleaning Brushes > Pipe Brushes
Woodworking Kits,Hand Tools,Tools > Hand Tools > Woodworking Kits
Pickaxes & Mattocks,Hand Tools,Tools > Hand Tools > Pickaxes & Mattocks
Pickaxes,Pickaxes & Mattocks,Tools > Hand Tools > Pickaxes & Mattocks > Pickaxes
Cutter Mattocks,Pickaxes & Mattocks,Tools > Hand Tools > Pickaxes & Mattocks > Cutter Mattocks
Pick Mattocks,Pickaxes & Mattocks,Tools > Hand Tools > Pickaxes & Mattocks > Pick Mattocks
Grubber Mattocks,Pickaxes & Mattocks,Tools > Hand Tools > Pickaxes & Mattocks > Grubber Mattocks
Clipboards,Hand Tools,Tools > Hand Tools > Clipboards
Screw Extractors,Hand Tools,Tools > Hand Tools > Screw Extractors
Power Tools,Tools,Tools > Power Tools
Corded & Plug-in,Power Tools,Tools > Power Tools > Corded & Plug-in
Power Drills,Corded & Plug-in,Tools > Power Tools > Corded & Plug-in > Power Drills
Power Drill 1/2in,Power Drills,Tools > Power Tools > Corded & Plug-in > Power Drills > Power Drill 1/2in
Power Drill 3/8in,Power Drills,Tools > Power Tools > Corded & Plug-in > Power Drills > Power Drill 3/8in
Hammer Drills,Power Drills,Tools > Power Tools > Corded & Plug-in > Power Drills > Hammer Drills
Power Saws,Corded & Plug-in,Tools > Power Tools > Corded & Plug-in > Power Saws
Radial Chop Saws,Power Saws,Tools > Power Tools > Corded & Plug-in > Power Saws > Radial Chop Saws
Chop Saws,Power Saws,Tools > Power Tools > Corded & Plug-in > Power Saws > Chop Saws
Circular Saws,Power Saws,Tools > Power Tools > Corded & Plug-in > Power Saws > Circular Saws
Worm Drive Circular Saws,Circular Saws,Tools > Power Tools > Corded & Plug-in > Power Saws > Circular Saws > Worm Drive Circular Saws
Scroller Power Saws,Power Saws,Tools > Power Tools > Corded & Plug-in > Power Saws > Scroller Power Saws
Corded Miter Saws,Power Saws,Tools > Power Tools > Corded & Plug-in > Power Saws > Corded Miter Saws
Compound Miter Saws,Corded Miter Saws,Tools > Power Tools > Corded & Plug-in > Power Saws > Corded Miter Saws > Compound Miter Saws
Sliding Compound Miter Saws,Corded Miter Saws,Tools > Power Tools > Corded & Plug-in > Power Saws > Corded Miter Saws > Sliding Compound Miter Saws
Jig Saws,Power Saws,Tools > Power Tools > Corded & Plug-in > Power Saws > Jig Saws
Radial Arm Saws,Power Saws,Tools > Power Tools > Corded & Plug-in > Power Saws > Radial Arm Saws
Table Saws,Power Saws,Tools > Power Tools > Corded & Plug-in > Power Saws > Table Saws
Wet Tile Saws,Power Saws,Tools > Power Tools > Corded & Plug-in > Power Saws > Wet Tile Saws
Band Saws,Power Saws,Tools > Power Tools > Corded & Plug-in > Power Saws > Band Saws
Corded Mowers,Corded & Plug-in,Tools > Power Tools > Corded & Plug-in > Corded Mowers
Corded Trimmers,Corded & Plug-in,Tools > Power Tools > Corded & Plug-in > Corded Trimmers
Electric Hedge Trimmers,Corded Trimmers,Tools > Power Tools > Corded & Plug-in > Corded Trimmers > Electric Hedge Trimmers
Electric Lawn Edger,Corded Trimmers,Tools > Power Tools > Corded & Plug-in > Corded Trimmers > Electric Lawn Edger
Electric String Trimmer,Corded Trimmers,Tools > Power Tools > Corded & Plug-in > Corded Trimmers > Electric String Trimmer
Meters,Corded & Plug-in,Tools > Power Tools > Corded & Plug-in > Meters
Electric Usage Meter,Meters,Tools > Power Tools > Corded & Plug-in > Meters > Electric Usage Meter
Extension Cords,Corded & Plug-in,Tools > Power Tools > Corded & Plug-in > Extension Cords
Electric Chippers,Corded & Plug-in,Tools > Power Tools > Corded & Plug-in > Electric Chippers
Buffers,Corded & Plug-in,Tools > Power Tools > Corded & Plug-in > Buffers
