,Membership ID,Confirmed?,Sex,Age,Created,First Membership Started,Current Membership Type,Last Changed,Expiration,American Indian or Alaskan Native,Asian,Black or African American,Hispanic,White,Native Hawaiian or Pacific Islander,Other
3238,1577,False,unknown,,2018-07-19,2018-07-18,regular,2018-07-18,2019-07-18,,,,,,,
3239,530,True,unknown,,2017-03-02,2017-03-22,regular,2022-01-29,2023-01-29,,,,,,,
3240,529,True,unknown,,2017-02-28,2017-03-01,regular,2017-03-01,2018-03-01,,,,,,,
3241,1590,True,unknown,53,2018-07-23,2018-09-02,regular,2018-09-02,2019-09-02,,,,,,,
3242,1777,True,unknown,,2018-10-23,,Request_CheckIDAddressPhoneDOB,2018-10-23,,,,,,,,
3243,2662,True,unknown,,2019-12-21,2019-12-21,regular,2019-12-21,2020-12-21,,,,,,,
3244,2757,False,unknown,32,2020-02-10,2020-02-09,regular,2020-02-09,2021-02-09,,,,,,,
3245,3154,True,unknown,28,2021-05-18,,Request_CheckIDAddressPhoneDOB,2021-05-18,,,,,,,,
3246,2911,True,unknown,30,2020-07-25,2020-07-25,regular,2020-07-25,2021-07-25,,,,,,,
3247,712,False,unknown,33,2017-06-01,2018-04-28,regular,2018-04-28,2019-04-28,,,,,,,
3248,314,False,male,35,2016-09-11,2016-12-11,regular,2016-12-11,2017-12-11,,,,,,,
3249,2191,True,male,58,2019-05-30,2019-06-02,regular,2021-06-03,2022-06-02,,,,,,,
3250,2915,True,unknown,23,2020-07-29,2020-08-08,regular,2021-08-17,2022-08-08,,,,,,,
3251,2656,False,male,34,2019-12-14,2019-12-14,regular,2021-01-30,2022-01-30,,Y,,,,,
3252,602,False,unknown,,2017-04-15,2017-04-15,regular,2019-06-09,2020-04-15,,,,,,,
3253,1163,False,unknown,,2018-01-15,,Request_CheckIDAddressPhoneDOB,2018-01-15,,,,,,,,
3254,1167,True,unknown,,2018-01-16,,Request_CheckIDAddressPhoneDOB,2018-01-15,,,,,,,,
3255,2270,True,female,25,2019-06-29,2019-06-29,regular,2019-06-29,2020-06-29,,,,,Y,,
3256,114,False,unknown,,2016-04-30,2016-04-30,regular,2016-04-30,2017-04-30,,,,,,,
3257,1755,True,unknown,,2018-10-06,2018-10-06,regular,2018-10-06,2019-10-06,,,,,,,
3258,434,False,unknown,,2016-12-09,,Request_CheckIDAddressPhoneDOB,2016-12-08,,,,,,,,
3259,2558,True,female,52,2019-10-20,2019-10-20,regular,2019-10-20,2020-10-20,,,,,,,
3260,1939,True,male,33,2019-02-14,2019-07-02,regular,2021-05-18,2022-05-18,,,,,,,
3261,1432,True,unknown,,2018-05-19,2018-05-19,regular,2019-07-17,2020-05-20,,,,,,,
3262,2030,True,unknown,,2019-03-28,2019-03-27,regular,2019-03-27,2020-03-27,,,,,,,
3263,256,True,unknown,43,2016-08-03,,Request_CheckIDAddressPhoneDOB,2016-08-03,,,,,,,,
3264,366,True,unknown,,2016-10-23,2016-10-23,regular,2017-11-22,2018-10-23,,,,,,,
3265,487,False,male,32,2017-01-19,2017-01-18,regular,2017-01-18,2018-01-18,,,,,,,
3266,847,True,unknown,44,2017-08-04,2020-01-26,regular,2020-01-26,2021-01-26,,,,,,,
3267,999,True,unknown,,2017-10-04,,Request_CheckIDAddressPhoneDOB,2017-10-04,,,,,,,,
3268,1246,True,unknown,39,2018-03-03,,Request_CheckIDAddressPhoneDOB,2018-03-03,,,,,,,,
3269,1656,False,unknown,,2018-08-21,2018-08-21,regular,2018-08-21,2019-08-21,,,,,,,
3270,2068,False,male,31,2019-04-13,2019-04-13,regular,2019-04-13,2020-04-13,,,,,Y,,
3271,2933,True,unknown,35,2020-08-16,,Request_CheckIDAddressPhoneDOB,2020-08-16,,,,,,,,
3272,3490,True,unknown,32,2022-01-09,2022-01-09,regular,2022-01-09,2023-01-09,,,,,,,
3273,80,False,unknown,29,2015-12-26,,Request_CheckIDAddressPhoneDOB,2015-12-25,,,,,,,,
3274,3179,False,unknown,0,2021-06-05,,Request_CheckIDAddressPhoneDOB,2021-06-05,,,,,,,,
3275,1550,False,female,30,2018-07-08,,Request_CheckIDAddressPhoneDOB,2018-07-08,,,,,,,,
3276,2875,True,unknown,24,2020-06-27,,Request_CheckIDAddressPhoneDOB,2020-06-27,,,,,,,,
3277,3182,True,unknown,30,2021-06-05,,Request_CheckIDAddressPhoneDOB,2021-06-05,,,,,,,,
3278,150,False,male,33,2016-05-10,2016-05-11,regular,2016-05-11,2017-05-11,,,,,,,
3279,2520,False,male,27,2019-10-07,2019-10-06,regular,2019-10-06,2020-10-06,,,,,,,
3280,2481,False,male,25,2019-09-23,2019-09-22,regular,2019-09-22,2020-09-23,,,,,Y,,
3281,2854,False,unknown,37,2020-04-30,,Request_CheckIDAddressPhoneDOB,2020-04-30,,,,,,,,
3282,3280,True,unknown,52,2021-08-20,2021-08-21,regular,2021-08-21,2022-08-21,,,,,,,
