Item Type,Types Of Items,Item Count,Disabled Item Count,Active Item Count,Max Checked Out,Max Checked Out Date,Utilization
Electric Lawn Edger,1,3,2,1,1,2016-09-17 09:36:00,100.0
Electric String Trimmer,1,2,0,2,1,2017-05-27 09:46:00,50.0
Extension Cords,1,72,37,35,40,2024-01-23 19:03:00,114.3
Electric Chippers,1,1,0,1,3,2024-01-08 19:05:00,300.0
Buffers,1,5,0,5,6,2023-12-19 19:13:00,120.0
Testers,4,25,6,19,8,2023-12-23 12:11:00,42.1
Circuit Testers,1,13,5,8,3,2020-08-01 10:17:00,37.5
Voltage Tester,1,10,1,9,5,2022-09-24 11:45:00,55.6
Sanders & Planers,11,94,51,43,47,2024-01-18 23:16:00,109.3
Random Orbit Sander,1,10,5,5,5,2022-06-28 18:26:00,100.0
Finishing Power Sanders,1,17,10,7,14,2024-01-13 11:50:00,200.0
Belt Sanders,1,19,8,11,10,2023-10-24 20:56:00,90.9
Power Planer,1,7,4,3,2,2017-05-14 16:19:00,66.7
Power Sanders,1,37,22,15,21,2024-01-23 19:53:00,140.0
Reciprocating Saw,1,14,5,9,11,2024-01-23 19:17:00,122.2
Soldering & Heat Guns,4,75,32,43,28,2024-01-16 18:27:00,65.1
Soldering Iron,1,44,17,27,16,2024-01-02 20:35:00,59.3
Heat Gun,1,10,7,3,4,2017-04-19 18:33:00,133.3
Hot Glue Gun,1,18,8,10,9,2024-01-16 18:27:00,90.0
Paint Sprayer,1,10,6,4,3,2019-07-15 18:38:00,75.0
Electric Dehydrators,1,5,1,4,3,2024-01-22 20:12:00,75.0
Routers,1,15,9,6,5,2019-10-12 09:32:00,83.3
Rotary Tools,3,34,23,11,9,2021-01-09 12:05:00,81.8
Dremel Multi Pro,1,23,14,9,5,2019-08-12 20:30:00,55.6
Roto Zip,1,5,4,1,1,2018-01-07 16:58:00,100.0
Drill Press (power),1,7,4,3,2,2017-06-24 11:08:00,66.7
Pressure Washers,2,9,7,2,4,2019-09-04 19:58:00,200.0
Pressure Washer Attachments,1,1,0,1,1,2022-12-13 21:13:00,100.0
Electric Air Pumps,1,2,1,1,1,2022-07-24 16:28:00,100.0
Chargers,3,51,23,28,17,2024-01-16 21:00:00,60.7
12v Battery Chargers,1,2,1,1,3,2024-01-16 21:00:00,300.0
Rechargeable Battery Charger,1,31,10,21,11,2024-01-14 18:40:00,52.4
Electric Leaf Blower,1,5,3,2,3,2021-07-13 19:08:00,150.0
Engraver,1,6,4,2,3,2023-01-14 12:01:00,150.0
Electric Pumps,3,3,0,3,1,2019-11-16 09:38:00,33.3
Submersible Pump,1,2,0,2,1,2019-11-16 09:38:00,50.0
Electric Mixers & Dispensers,3,9,3,6,2,2020-03-07 13:30:00,33.3
Electric Concrete Stirrers,1,3,1,2,2,2022-09-27 20:01:00,100.0
Paint Mixers & Stirrers,1,6,2,4,2,2022-01-22 10:16:00,50.0
Electric Augers & Drain Openers,1,1,0,1,1,2020-10-17 09:26:00,100.0
Vacuum Cleaners,4,32,13,19,19,2024-01-14 12:46:00,100.0
Wet-Dry Vac,1,23,8,15,18,2024-01-14 12:46:00,120.0
Handheld Vacuums,1,1,1,0,1,2017-04-29 12:18:00,inf
Upright Vacuums,2,1,1,0,1,2019-11-16 11:02:00,inf
Router Accessories,5,3,1,2,2,2024-01-11 18:51:00,100.0
Router Edge Guides,1,2,0,2,2,2024-01-11 18:51:00,100.0
Router Bits,9,9,1,8,0,,0.0
Straight Router Bits,1,4,0,4,0,,0.0
Molding Router Bits,1,1,0,1,0,,0.0
Frame & Panel Router Bits,1,1,0,1,0,,0.0
Corded Grinders,1,2,0,2,3,2023-12-06 20:50:00,150.0
Electric Nailers,1,1,0,1,1,2018-03-21 18:22:00,100.0
Steam Cleaners,5,7,6,1,4,2021-10-13 18:18:00,400.0
Carpet Steam Cleaners,1,3,3,0,3,2021-10-13 18:18:00,inf
Multi-surface Steam Cleaners,1,1,1,0,1,2017-08-05 10:43:00,inf
Cordless Power Tools,18,133,74,59,65,2024-01-21 16:46:00,110.2
Cordless Drills,1,63,38,25,31,2024-01-21 16:46:00,124.0
Flashlights,1,14,7,7,3,2020-10-03 09:36:00,42.9
Cordless Trimmers,1,11,6,5,5,2017-05-13 12:06:00,100.0
Cordless Saws,2,8,2,6,8,2023-11-25 10:58:00,133.3
Cordless Circular Saw,1,4,2,2,3,2023-11-25 10:58:00,150.0
Cordless Screwdrivers,1,4,3,1,1,2018-07-18 19:44:00,100.0
Cordless Vacuums,1,2,1,1,2,2022-02-08 21:01:00,200.0
Cordless Impact Drivers,1,5,2,3,2,2017-12-13 20:59:00,66.7
Cordless Tool Batteries,4,70,44,26,18,2024-01-21 16:46:00,69.2
12V Cordless Tool Batteries,1,9,6,3,2,2018-09-18 16:42:00,66.7
18V Cordless Tool Batteries,1,36,18,18,10,2024-01-21 16:46:00,55.6
20V Cordless Tool Batteries,1,15,10,5,6,2021-10-09 11:29:00,120.0
Cordless Hammer Drills,1,3,0,3,6,2023-11-28 20:44:00,200.0
Cordless Grinders,1,1,0,1,1,2023-01-11 20:27:00,100.0
