,Membership ID,Confirmed?,Sex,Age,Created,First Membership Started,Current Membership Type,Last Changed,Expiration,American Indian or Alaskan Native,Asian,Black or African American,Hispanic,White,Native Hawaiian or Pacific Islander,Other
3357,3609,False,unknown,,2022-03-18,2022-03-19,regular,2022-03-19,2023-03-19,,,,,,,
3358,3879,False,unknown,27,2022-07-21,2022-07-20,regular,2022-07-20,2023-07-20,,,Y,Y,,,
3359,3634,True,unknown,,2022-04-03,,Request_CheckIDAddressPhoneDOB,2022-04-03,,,,,,,,
3360,465,False,male,,2017-01-05,2017-01-04,regular,2018-12-09,2019-01-04,,,,,,,
3361,1429,True,unknown,,2018-05-19,,Request_CheckIDAddressPhoneDOB,2018-05-19,,,,,,,,
3362,1919,True,unknown,,2019-01-28,2019-01-27,regular,2020-10-10,2021-10-10,,,,,,,
3363,4701,False,unknown,,2023-06-14,2023-06-13,regular,2023-06-13,2024-06-13,,,,,,,
3364,593,False,male,,2017-04-10,2017-04-12,regular,2018-06-09,2019-04-12,,,,,,,
3365,3178,True,unknown,,2021-06-05,2021-06-05,regular,2021-06-05,2022-06-05,,,,,,,
3366,3672,False,male,,2022-04-27,2022-04-26,regular,2023-06-06,2024-06-06,,,,,,,
3367,3696,False,unknown,,2022-05-14,,Request_CheckIDAddressPhoneDOB,2022-05-14,,,,,,,,
3368,4350,True,unknown,,2023-02-25,2023-02-28,regular,2023-02-28,2024-02-28,,,,,,,
3369,rmurray9,False,unknown,,2016-10-09,2016-10-09,regular,2016-10-09,2018-10-09,,,,,,Y,Y
3370,389,True,male,,2016-11-04,,Request_CheckIDAddressPhoneDOB,2016-11-04,,,,,,,,
3371,1809,False,unknown,,2018-11-12,2018-11-11,regular,2022-11-05,2023-11-05,,,,,,,
3372,2223,False,unknown,,2019-06-12,2019-06-11,regular,2019-06-11,2020-06-11,,,,,,,
3373,228,True,unknown,,2016-07-12,,Request_CheckIDAddressPhoneDOB,2016-07-11,,,,,,,,
3374,3781,True,unknown,,2022-06-18,2022-06-18,regular,2022-06-18,2023-06-18,,,,,,,
3375,3570,True,unknown,,2022-02-19,2022-02-19,regular,2023-03-25,2024-03-25,,,,,,,
3376,368,False,male,,2016-10-23,2016-10-23,regular,2017-11-22,2018-10-23,,,,,,,
3377,1091,True,female,,2017-12-04,2017-12-03,regular,2023-09-02,2024-09-02,,,,,Y,,
3378,1329,True,unknown,,2018-04-12,,Request_CheckIDAddressPhoneDOB,2018-04-11,,,,,,,,
3379,1724,True,unknown,,2018-09-21,,Request_CheckIDAddressPhoneDOB,2018-09-21,,,,,,,,
3380,2385,True,male,,2019-08-18,2019-08-18,regular,2019-08-18,2020-08-18,,,,,,,
3381,3156,False,unknown,,2021-05-19,2021-05-18,regular,2021-05-18,2022-05-18,,,,,,,
3382,2734,False,unknown,,2020-01-29,,Request_CheckIDAddressPhoneDOB,2020-01-28,,,,,,,,
3383,3325,False,unknown,,2021-09-16,,Request_CheckIDAddressPhoneDOB,2021-09-16,,,,,,,,
3384,1408,False,unknown,,2018-05-13,,Request_CheckIDAddressPhoneDOB,2018-05-13,,,,,,,,
3385,2458,True,female,,2019-09-15,2019-09-15,regular,2019-09-15,2020-09-15,,,,,,,
3386,4927,False,unknown,,2023-08-19,2023-08-19,regular,2023-08-19,2024-08-19,,,,,,,
3387,26,True,female,,2015-07-11,,Request_CheckIDAddressPhoneDOB,2015-07-11,,,,,,,,
3388,5317,True,unknown,,2024-01-07,,Request_CheckIDAddressPhoneDOB,2024-01-07,,,,,,,,
3389,3601,False,unknown,,2022-03-13,,Request_CheckIDAddressPhoneDOB,2022-03-12,,,,,,,,
3390,3304,False,unknown,,2021-09-05,,Request_CheckIDAddressPhoneDOB,2021-09-05,,,,,,,,
3391,3488,True,unknown,,2022-01-08,2022-01-08,regular,2023-05-14,2024-05-14,,,,,,,
3392,2852,False,unknown,,2020-04-24,,Request_CheckIDAddressPhoneDOB,2020-04-24,,,,,,,,
3393,1562,False,male,,2018-07-12,,Request_CheckIDAddressPhoneDOB,2018-07-11,,,,,,,,
3394,2679,False,unknown,,2019-12-31,2019-12-30,regular,2019-12-30,2020-12-30,,,,,,,
3395,1812,True,male,,2018-11-14,,Request_CheckIDAddressPhoneDOB,2018-11-14,,,,,,,,
3396,4022,False,female,23,2022-09-15,,Request_CheckIDAddressPhoneDOB,2022-09-15,,,,,,,,
3397,2183,True,other,29,2019-05-26,,Request_CheckIDAddressPhoneDOB,2019-05-26,,,,,,Y,,
3398,429,False,unknown,,2016-12-08,,Request_CheckIDAddressPhoneDOB,2016-12-07,,,,,,,,
3399,3817,True,unknown,,2022-07-02,,Request_CheckIDAddressPhoneDOB,2022-07-01,,,,,,,,
3400,4067,False,unknown,,2022-10-08,2022-10-08,regular,2022-10-08,2023-10-08,,,,,,,
3401,4377,True,unknown,,2023-03-08,2023-03-07,regular,2023-03-07,2024-03-07,,,,,,,
3402,5184,False,unknown,,2023-11-11,2023-11-11,regular,2023-11-11,2024-11-11,,,,,,,
3403,5303,False,male,32,2024-01-02,2024-01-03,regular,2024-01-03,2025-01-03,,,,,,,
3404,2586,False,unknown,,2019-11-05,,Request_CheckIDAddressPhoneDOB,2019-11-04,,,,,,,,
3405,5257,True,unknown,27,2023-12-06,,Request_CheckIDAddressPhoneDOB,2023-12-06,,,,,,,,
3406,5289,False,unknown,,2023-12-22,2023-12-21,regular,2023-12-21,2024-12-21,,,,,,,
3407,1474,True,male,,2018-06-06,2018-06-06,regular,2018-06-06,2019-06-06,,,,,,,
3408,5340,True,male,25,2024-01-13,2024-01-13,regular,2024-01-13,2025-01-13,,,,,,,
3409,112,False,female,,2016-04-30,,Request_CheckIDAddressPhoneDOB,2016-04-30,,,,,,,,
